clientsite_id,datetime,deveui,motion,avg_temperature,min_temperature,max_temperature,avg_light,avg_humidity
2,"2025-05-21 10:00:00+01",A81758FFFE087222,27,22.1,22.1,22.2,164,41.3
2,"2025-05-21 10:00:00+01",A81758FFFE087220,0,20.4,20.3,20.5,4,46.8
2,"2025-05-21 10:00:00+01",A81758FFFE08721F,0,20.6,20.5,20.7,14,48.0
2,"2025-05-21 10:00:00+01",A81758FFFE08721E,6,20.4,20.4,20.4,35,48.0
2,"2025-05-21 10:00:00+01",A81758FFFE08721D,0,19.8,19.7,19.8,189,50.0
2,"2025-05-21 10:00:00+01",A81758FFFE0871D6,0,17.7,17.5,18,4,57.5
2,"2025-05-21 10:00:00+01",A81758FFFE0871D5,5,15.5,15.3,15.7,319,69.0
2,"2025-05-21 10:00:00+01",A81758FFFE0871D4,13,15.3,14.9,15.6,426,70.5
2,"2025-05-21 10:00:00+01",A81758FFFE0871D3,171,22.4,22.2,22.7,369,43.8
2,"2025-05-21 10:00:00+01",A81758FFFE0871D2,185,21.6,21.2,22.1,606,48.3
2,"2025-05-21 10:00:00+01",A81758FFFE0871D1,29,21.3,20.9,21.7,786,48.0
2,"2025-05-21 10:00:00+01",A81758FFFE0871D0,70,22.9,22.8,22.9,347,47.0
2,"2025-05-21 10:00:00+01",A81758FFFE0871CF,45,22.7,22.7,22.8,565,44.3
2,"2025-05-21 10:00:00+01",A81758FFFE0871CE,0,21.2,21.1,21.2,53,46.0
2,"2025-05-21 10:00:00+01",A81758FFFE0871CD,156,19.1,19,19.2,210,52.8
8,"2025-05-21 10:00:00+01",A81758FFFE0849E8,0,21.8,21.8,21.9,400,42.0
8,"2025-05-21 10:00:00+01",A81758FFFE0849E6,2,18.9,18.9,19,128,54.0
8,"2025-05-21 10:00:00+01",A81758FFFE0849E5,0,18.6,18.5,18.6,75,50.0
8,"2025-05-21 10:00:00+01",A81758FFFE0849E4,3,19.4,19.4,19.5,153,50.0
8,"2025-05-21 10:00:00+01",A81758FFFE0849E3,0,21.5,21.4,21.6,488,42.0
8,"2025-05-21 10:00:00+01",A81758FFFE0849E2,0,19.6,19.5,19.8,127,51.0
8,"2025-05-21 10:00:00+01",A81758FFFE0849E1,4,19.2,19.1,19.2,184,47.0
8,"2025-05-21 10:00:00+01",A81758FFFE0849E0,5,19.9,19.8,19.9,73,45.8
8,"2025-05-21 10:00:00+01",A81758FFFE0849DF,15,21.3,21.3,21.3,12,44.0
8,"2025-05-21 10:00:00+01",A81758FFFE0849DE,4,22.3,22.3,22.3,153,42.8
8,"2025-05-21 10:00:00+01",A81758FFFE0849DD,0,18.1,17.9,18.2,1272,55.5
8,"2025-05-21 10:00:00+01",A81758FFFE0849DC,0,17.0,16.8,17.2,726,58.8
8,"2025-05-21 10:00:00+01",A81758FFFE0849DB,0,19.5,19.5,19.5,103,48.8
8,"2025-05-21 10:00:00+01",A81758FFFE0849DA,0,18.8,18.6,19,188,52.5
8,"2025-05-21 10:00:00+01",A81758FFFE0849D9,3,21.2,21,21.4,1127,46.0
8,"2025-05-21 10:00:00+01",A81758FFFE0849D8,23,18.1,17.8,18.4,375,53.0
8,"2025-05-21 10:00:00+01",A81758FFFE0849D6,45,23.4,23.4,23.4,20,42.0
8,"2025-05-21 10:00:00+01",A81758FFFE0849D5,0,23.3,23.1,23.4,523,42.0
8,"2025-05-21 10:00:00+01",A81758FFFE0849D4,0,24.1,23.6,24.5,557,39.5
8,"2025-05-21 10:00:00+01",A81758FFFE0849D3,0,20.9,20.8,20.9,121,41.0
8,"2025-05-21 10:00:00+01",A81758FFFE0849D2,0,20.2,20.2,20.2,113,44.5
